Год_выпуска,Жанр,Название,Режиссёр,Страна
1993,короткометражка,Хлам (фильм),,США
1967,драма,Хладнокровный Люк,Стюарт Розенберг,США
1995,"драма, триллер, комедия",Хладнокровный (фильм),Уоллес Володарски,США
1954,драма,Хлеб в траве,Клод Отан-Лара,Франция
1988,,Хлеб — имя существительное,Григорий Никулин,СССР
"27 сентября, 1971",[d],Хлеб и соль (фильм),,СССР
1996,"драматический фильм, криминальный фильм","Хладнокровное убийство (фильм, 1996)",Джонатан Каплан,США
1993,боевик,Хищный огонь,Эллиот Силверстайн,США
2020,"хоррор, экшн, драма",Хищные воды: Западня,Эндрю Трауки,
1983,"приключения, боевик, фантастика",Хищники Атлантиды,Руджеро Деодато,Италия
1967,криминальная драма,"Хладнокровное убийство (фильм, 1967)",Ричард Брукс,США
2020,"боевик, [1], приключения, [1], криминал, [1], чёрная комедия",Хищные птицы: Потрясающая история Харли Квинн,"Кэти Янь, [en]",США
1964,"триллер, драма","Хищники (фильм, 1964)",Рене Клеман,Франция
1991,,"Хищники (фильм, 1991)",Александр Косарев,СССР
1990,"фантастика, боевик, триллер, ужасы",Хищник 2,Стивен Хопкинс,США
2018,"фантастический, боевик, триллер, ужасы","Хищник (фильм, 2018)",Шейн Блэк,США
1978,"боевик, ,, комедия",Хитрый кавалер,Джозеф Го,Китайская Республика
1987,"фантастический, боевик, ужасы, триллер","Хищник (фильм, 1987)",Джон Мактирнан,США
2012,фильм-биография,Хичкок (фильм),Саша Джерваси,США
1992,"ужасы, ,, слэшер",Хихикающий доктор,Мэнни Кото,США
2023,"детектив, комедия",Хитровка. Знак четырёх,Карен Шахназаров,Россия
2015,"боевик, триллер",Хитмэн: Агент 47,Александр Бах,США
2007,"боевик, криминальный фильм, драма, триллер",Хитмэн,Ксавье Жанс,
1939,комедия,"Хирургия (фильм, 1939)",Ян Фрид,СССР
2009,"драма, триллер, фантастика, биопанк",Химера (фильм),Винченцо Натали,
2023,драма,"Химера (фильм, 2023)",Аличе Рорвахер,
2010,"фантастика, боевик, триллер, ужасы","Хищники (фильм, 2010)",Нимрод Антал,США
2006,фильм ужасов,Хиллсайдские каннибалы,Ли Скотт,США
1965,драма,"Хижина дяди Тома (фильм, 1965)",Геза фон Радваньи,
1998,"фильм-биография, драма, музыкальный фильм",Хилари и Джеки,Ананд Такер,Великобритания
